timestamp,kwh,building_name,building
2024-01-01 00:00:00,60.57,Building A,building_a
2024-01-01 01:00:00,63.66,Building A,building_a
2024-01-01 02:00:00,82.58,Building A,building_a
2024-01-01 03:00:00,84.35,Building A,building_a
2024-01-01 04:00:00,64.36,Building A,building_a
2024-01-01 05:00:00,74.45,Building A,building_a
2024-01-01 06:00:00,102.73,Building A,building_a
2024-01-01 07:00:00,118.49,Building A,building_a
2024-01-01 08:00:00,105.85,Building A,building_a
2024-01-01 09:00:00,148.65,Building A,building_a
2024-01-01 10:00:00,144.12,Building A,building_a
2024-01-01 11:00:00,152.13,Building A,building_a
2024-01-01 12:00:00,157.48,Building A,building_a
2024-01-01 13:00:00,181.64,Building A,building_a
2024-01-01 14:00:00,156.94,Building A,building_a
2024-01-01 15:00:00,156.34,Building A,building_a
2024-01-01 16:00:00,172.1,Building A,building_a
2024-01-01 17:00:00,157.59,Building A,building_a
2024-01-01 18:00:00,118.78,Building A,building_a
2024-01-01 19:00:00,121.89,Building A,building_a
2024-01-01 20:00:00,116.16,Building A,building_a
2024-01-01 21:00:00,134.82,Building A,building_a
2024-01-01 22:00:00,72.44,Building A,building_a
2024-01-01 23:00:00,80.35,Building A,building_a
2024-01-02 00:00:00,67.29,Building A,building_a
2024-01-02 01:00:00,68.31,Building A,building_a
2024-01-02 02:00:00,70.49,Building A,building_a
2024-01-02 03:00:00,65.01,Building A,building_a
2024-01-02 04:00:00,74.82,Building A,building_a
2024-01-02 05:00:00,76.43,Building A,building_a
2024-01-02 06:00:00,102.8,Building A,building_a
2024-01-02 07:00:00,120.5,Building A,building_a
2024-01-02 08:00:00,106.48,Building A,building_a
2024-01-02 09:00:00,148.46,Building A,building_a
2024-01-02 10:00:00,175.32,Building A,building_a
2024-01-02 11:00:00,169.07,Building A,building_a
2024-01-02 12:00:00,169.15,Building A,building_a
2024-01-02 13:00:00,152.65,Building A,building_a
2024-01-02 14:00:00,176.28,Building A,building_a
2024-01-02 15:00:00,171.96,Building A,building_a
2024-01-02 16:00:00,167.28,Building A,building_a
2024-01-02 17:00:00,174.97,Building A,building_a
2024-01-02 18:00:00,127.52,Building A,building_a
2024-01-02 19:00:00,106.09,Building A,building_a
2024-01-02 20:00:00,127.77,Building A,building_a
2024-01-02 21:00:00,116.89,Building A,building_a
2024-01-02 22:00:00,69.87,Building A,building_a
2024-01-02 23:00:00,78.02,Building A,building_a
2024-01-03 00:00:00,67.08,Building A,building_a
2024-01-03 01:00:00,77.35,Building A,building_a
2024-01-03 02:00:00,64.46,Building A,building_a
2024-01-03 03:00:00,71.14,Building A,building_a
2024-01-03 04:00:00,79.9,Building A,building_a
2024-01-03 05:00:00,69.99,Building A,building_a
2024-01-03 06:00:00,114.88,Building A,building_a
2024-01-03 07:00:00,94.05,Building A,building_a
2024-01-03 08:00:00,118.7,Building A,building_a
2024-01-03 09:00:00,153.73,Building A,building_a
2024-01-03 10:00:00,165.32,Building A,building_a
2024-01-03 11:00:00,154.74,Building A,building_a
2024-01-03 12:00:00,149.99,Building A,building_a
2024-01-03 13:00:00,179.39,Building A,building_a
2024-01-03 14:00:00,161.04,Building A,building_a
2024-01-03 15:00:00,154.65,Building A,building_a
2024-01-03 16:00:00,158.29,Building A,building_a
2024-01-03 17:00:00,167.55,Building A,building_a
2024-01-03 18:00:00,126.61,Building A,building_a
2024-01-03 19:00:00,113.25,Building A,building_a
2024-01-03 20:00:00,134.58,Building A,building_a
2024-01-03 21:00:00,124.41,Building A,building_a
2024-01-03 22:00:00,86.57,Building A,building_a
2024-01-03 23:00:00,85.9,Building A,building_a
2024-01-04 00:00:00,68.58,Building A,building_a
2024-01-04 01:00:00,75.38,Building A,building_a
2024-01-04 02:00:00,65.79,Building A,building_a
2024-01-04 03:00:00,80.62,Building A,building_a
2024-01-04 04:00:00,66.85,Building A,building_a
2024-01-04 05:00:00,68.68,Building A,building_a
2024-01-04 06:00:00,107.85,Building A,building_a
2024-01-04 07:00:00,100.62,Building A,building_a
2024-01-04 08:00:00,116.44,Building A,building_a
2024-01-04 09:00:00,174.8,Building A,building_a
2024-01-04 10:00:00,168.86,Building A,building_a
2024-01-04 11:00:00,165.37,Building A,building_a
2024-01-04 12:00:00,156.95,Building A,building_a
2024-01-04 13:00:00,165.28,Building A,building_a
2024-01-04 14:00:00,175.14,Building A,building_a
2024-01-04 15:00:00,147.45,Building A,building_a
2024-01-04 16:00:00,154.47,Building A,building_a
2024-01-04 17:00:00,151.8,Building A,building_a
2024-01-04 18:00:00,125.46,Building A,building_a
2024-01-04 19:00:00,132.54,Building A,building_a
2024-01-04 20:00:00,129.83,Building A,building_a
2024-01-04 21:00:00,108.3,Building A,building_a
2024-01-04 22:00:00,95.46,Building A,building_a
2024-01-04 23:00:00,77.31,Building A,building_a
2024-01-05 00:00:00,64.84,Building A,building_a
2024-01-05 01:00:00,69.97,Building A,building_a
2024-01-05 02:00:00,76.02,Building A,building_a
2024-01-05 03:00:00,80.35,Building A,building_a
2024-01-05 04:00:00,64.91,Building A,building_a
2024-01-05 05:00:00,79.96,Building A,building_a
2024-01-05 06:00:00,108.72,Building A,building_a
2024-01-05 07:00:00,98.66,Building A,building_a
2024-01-05 08:00:00,111.63,Building A,building_a
2024-01-05 09:00:00,152.34,Building A,building_a
2024-01-05 10:00:00,173.24,Building A,building_a
2024-01-05 11:00:00,160.83,Building A,building_a
2024-01-05 12:00:00,161.89,Building A,building_a
2024-01-05 13:00:00,164.47,Building A,building_a
2024-01-05 14:00:00,168.68,Building A,building_a
2024-01-05 15:00:00,144.93,Building A,building_a
2024-01-05 16:00:00,172.84,Building A,building_a
2024-01-05 17:00:00,150.93,Building A,building_a
2024-01-05 18:00:00,127.62,Building A,building_a
2024-01-05 19:00:00,128.95,Building A,building_a
2024-01-05 20:00:00,121.38,Building A,building_a
2024-01-05 21:00:00,114.76,Building A,building_a
2024-01-05 22:00:00,90.47,Building A,building_a
2024-01-05 23:00:00,76.24,Building A,building_a
2024-01-06 00:00:00,41.4,Building A,building_a
2024-01-06 01:00:00,42.93,Building A,building_a
2024-01-06 02:00:00,51.18,Building A,building_a
2024-01-06 03:00:00,49.04,Building A,building_a
2024-01-06 04:00:00,39.16,Building A,building_a
2024-01-06 05:00:00,45.45,Building A,building_a
2024-01-06 06:00:00,65.18,Building A,building_a
2024-01-06 07:00:00,70.08,Building A,building_a
2024-01-06 08:00:00,69.31,Building A,building_a
2024-01-06 09:00:00,93.91,Building A,building_a
2024-01-06 10:00:00,104.99,Building A,building_a
2024-01-06 11:00:00,96.74,Building A,building_a
2024-01-06 12:00:00,105.41,Building A,building_a
2024-01-06 13:00:00,97.67,Building A,building_a
2024-01-06 14:00:00,105.1,Building A,building_a
2024-01-06 15:00:00,87.41,Building A,building_a
2024-01-06 16:00:00,94.25,Building A,building_a
2024-01-06 17:00:00,104.45,Building A,building_a
2024-01-06 18:00:00,77.23,Building A,building_a
2024-01-06 19:00:00,74.2,Building A,building_a
2024-01-06 20:00:00,77.95,Building A,building_a
2024-01-06 21:00:00,68.89,Building A,building_a
2024-01-06 22:00:00,56.0,Building A,building_a
2024-01-06 23:00:00,50.49,Building A,building_a
2024-01-07 00:00:00,40.66,Building A,building_a
2024-01-07 01:00:00,39.08,Building A,building_a
2024-01-07 02:00:00,45.6,Building A,building_a
2024-01-07 03:00:00,44.87,Building A,building_a
2024-01-07 04:00:00,34.83,Building A,building_a
2024-01-07 05:00:00,39.51,Building A,building_a
2024-01-07 06:00:00,59.68,Building A,building_a
2024-01-07 07:00:00,65.17,Building A,building_a
2024-01-07 08:00:00,61.85,Building A,building_a
2024-01-07 09:00:00,101.52,Building A,building_a
2024-01-07 10:00:00,105.8,Building A,building_a
2024-01-07 11:00:00,101.78,Building A,building_a
2024-01-07 12:00:00,104.38,Building A,building_a
2024-01-07 13:00:00,103.24,Building A,building_a
2024-01-07 14:00:00,100.73,Building A,building_a
2024-01-07 15:00:00,100.25,Building A,building_a
2024-01-07 16:00:00,90.61,Building A,building_a
2024-01-07 17:00:00,96.85,Building A,building_a
2024-01-07 18:00:00,78.27,Building A,building_a
2024-01-07 19:00:00,64.22,Building A,building_a
2024-01-07 20:00:00,67.43,Building A,building_a
2024-01-07 21:00:00,67.37,Building A,building_a
2024-01-07 22:00:00,48.11,Building A,building_a
2024-01-07 23:00:00,49.53,Building A,building_a
2024-01-08 00:00:00,81.62,Building A,building_a
2024-01-08 01:00:00,82.11,Building A,building_a
2024-01-08 02:00:00,65.3,Building A,building_a
2024-01-08 03:00:00,73.63,Building A,building_a
2024-01-08 04:00:00,81.18,Building A,building_a
2024-01-08 05:00:00,79.37,Building A,building_a
2024-01-08 06:00:00,96.27,Building A,building_a
2024-01-08 07:00:00,95.12,Building A,building_a
2024-01-08 08:00:00,103.24,Building A,building_a
2024-01-08 09:00:00,167.23,Building A,building_a
2024-01-08 10:00:00,167.86,Building A,building_a
2024-01-08 11:00:00,160.13,Building A,building_a
2024-01-08 12:00:00,173.77,Building A,building_a
2024-01-08 13:00:00,159.62,Building A,building_a
2024-01-08 14:00:00,182.67,Building A,building_a
2024-01-08 15:00:00,145.68,Building A,building_a
2024-01-08 16:00:00,143.69,Building A,building_a
2024-01-08 17:00:00,157.09,Building A,building_a
2024-01-08 18:00:00,129.66,Building A,building_a
2024-01-08 19:00:00,120.71,Building A,building_a
2024-01-08 20:00:00,103.84,Building A,building_a
2024-01-08 21:00:00,124.19,Building A,building_a
2024-01-08 22:00:00,89.9,Building A,building_a
2024-01-08 23:00:00,73.49,Building A,building_a
2024-01-09 00:00:00,74.35,Building A,building_a
2024-01-09 01:00:00,77.96,Building A,building_a
2024-01-09 02:00:00,84.18,Building A,building_a
2024-01-09 03:00:00,76.99,Building A,building_a
2024-01-09 04:00:00,69.64,Building A,building_a
2024-01-09 05:00:00,72.63,Building A,building_a
2024-01-09 06:00:00,115.17,Building A,building_a
2024-01-09 07:00:00,103.41,Building A,building_a
2024-01-09 08:00:00,108.01,Building A,building_a
2024-01-09 09:00:00,154.32,Building A,building_a
2024-01-09 10:00:00,180.61,Building A,building_a
2024-01-09 11:00:00,179.36,Building A,building_a
2024-01-09 12:00:00,155.12,Building A,building_a
2024-01-09 13:00:00,166.89,Building A,building_a
2024-01-09 14:00:00,144.57,Building A,building_a
2024-01-09 15:00:00,140.89,Building A,building_a
2024-01-09 16:00:00,152.56,Building A,building_a
2024-01-09 17:00:00,150.09,Building A,building_a
2024-01-09 18:00:00,110.48,Building A,building_a
2024-01-09 19:00:00,126.08,Building A,building_a
2024-01-09 20:00:00,125.56,Building A,building_a
2024-01-09 21:00:00,117.91,Building A,building_a
2024-01-09 22:00:00,89.32,Building A,building_a
2024-01-09 23:00:00,91.7,Building A,building_a
2024-01-10 00:00:00,83.85,Building A,building_a
2024-01-10 01:00:00,64.39,Building A,building_a
2024-01-10 02:00:00,67.74,Building A,building_a
2024-01-10 03:00:00,75.76,Building A,building_a
2024-01-10 04:00:00,63.7,Building A,building_a
2024-01-10 05:00:00,78.79,Building A,building_a
2024-01-10 06:00:00,107.02,Building A,building_a
2024-01-10 07:00:00,102.12,Building A,building_a
2024-01-10 08:00:00,107.82,Building A,building_a
2024-01-10 09:00:00,141.57,Building A,building_a
2024-01-10 10:00:00,169.16,Building A,building_a
2024-01-10 11:00:00,181.62,Building A,building_a
2024-01-10 12:00:00,151.25,Building A,building_a
2024-01-10 13:00:00,172.8,Building A,building_a
2024-01-10 14:00:00,169.68,Building A,building_a
2024-01-10 15:00:00,165.34,Building A,building_a
2024-01-10 16:00:00,168.8,Building A,building_a
2024-01-10 17:00:00,153.35,Building A,building_a
2024-01-10 18:00:00,108.72,Building A,building_a
2024-01-10 19:00:00,135.62,Building A,building_a
2024-01-10 20:00:00,128.34,Building A,building_a
2024-01-10 21:00:00,127.7,Building A,building_a
2024-01-10 22:00:00,76.45,Building A,building_a
2024-01-10 23:00:00,78.07,Building A,building_a
2024-01-11 00:00:00,61.82,Building A,building_a
2024-01-11 01:00:00,67.91,Building A,building_a
